Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2005-03-03,LT,EQ,1113.8,1120.0,1135.9,1097.1,1100.0,1101.65,1114.99,316784,3.532101702e+13,,149898,0.4732
2005-03-04,LT,EQ,1101.65,1114.0,1131.0,1107.0,1117.0,1117.6,1120.71,394711,4.423545964e+13,,221948,0.5623
2005-03-07,LT,EQ,1117.6,1133.0,1134.0,1091.25,1096.3,1099.2,1111.98,242676,2.698511763e+13,,120312,0.4958
2005-03-08,LT,EQ,1099.2,1105.0,1122.0,1095.0,1117.0,1107.4,1106.47,284353,3.1462917305e+13,,121055,0.4257
2005-03-09,LT,EQ,1107.4,1115.1,1117.95,1091.0,1094.0,1097.45,1103.38,171330,1.8904161655e+13,,53663,0.3132
2005-03-10,LT,EQ,1097.45,1100.0,1104.0,1085.0,1091.1,1090.9,1091.51,145007,1.5827618625e+13,,56453,0.3893
2005-03-11,LT,EQ,1090.9,1099.85,1100.0,1090.0,1094.85,1093.85,1096.39,132928,1.4574041055e+13,,73967,0.5564
2005-03-14,LT,EQ,1093.85,1090.0,1110.0,1090.0,1099.9,1096.55,1099.53,129125,1.41976858e+13,,53710,0.416
2005-03-15,LT,EQ,1096.55,1104.25,1104.25,1065.3,1090.0,1086.15,1085.22,157637,1.7107151355e+13,,57572,0.3652
2005-03-16,LT,EQ,1086.15,1100.0,1110.0,1060.0,1063.05,1064.95,1076.31,266610,2.8695370515e+13,,130877,0.4909
2005-03-17,LT,EQ,1064.95,1090.0,1090.0,1043.1,1046.0,1049.05,1055.05,150852,1.591559982e+13,,56529,0.3747
2005-03-18,LT,EQ,1049.05,1030.55,1053.9,1027.5,1031.9,1032.7,1037.82,270917,2.811625958e+13,,164876,0.6086
2005-03-21,LT,EQ,1032.7,1032.1,1047.0,1020.0,1020.0,1023.15,1031.13,147611,1.522061719e+13,,87235,0.591
2005-03-22,LT,EQ,1023.15,1027.7,1034.0,1001.0,1013.0,1008.1,1018.28,148501,1.5121580655e+13,,76044,0.5121
2005-03-23,LT,EQ,1008.1,1006.0,1022.0,980.0,986.25,985.1,995.4,273843,2.7258432885e+13,,171731,0.6271
2005-03-24,LT,EQ,985.1,990.0,1006.9,965.25,973.0,971.6,982.49,279774,2.7487581215e+13,,148719,0.5316
2005-03-28,LT,EQ,971.6,1027.0,1027.0,980.0,1009.85,1006.05,997.4,136824,1.3646780315e+13,,61647,0.4506
2005-03-29,LT,EQ,1006.05,1006.0,1015.0,974.0,980.0,982.0,989.29,262051,2.5924323265e+13,,161357,0.6157
2005-03-30,LT,EQ,982.0,991.0,1000.0,968.0,981.1,978.6,983.97,186773,1.837787727e+13,,98057,0.525
2005-03-31,LT,EQ,978.6,990.4,1007.0,978.2,995.0,999.5,989.86,254269,2.5169145255e+13,,168956,0.6645
2005-04-01,LT,EQ,999.5,1002.8,1025.0,985.0,1024.9,1021.1,1012.75,184533,1.868865306e+13,,64752,0.3509
2005-04-04,LT,EQ,1021.1,1020.0,1045.85,1010.0,1034.7,1034.2,1030.91,194544,2.0055724225e+13,,104319,0.5362
2005-04-05,LT,EQ,1034.2,1042.9,1047.9,1021.0,1022.0,1027.85,1034.33,220943,2.2852731825e+13,,109597,0.496
2005-04-06,LT,EQ,1027.85,1031.9,1055.0,1021.05,1024.1,1025.0,1036.33,262853,2.724019788e+13,,101192,0.385
2005-04-07,LT,EQ,1025.0,1050.0,1050.0,995.0,1010.0,1003.8,1021.25,268793,2.7450422735e+13,,154494,0.5748
2005-04-08,LT,EQ,1003.8,1012.5,1012.5,975.0,982.0,983.55,985.59,349755,3.447147086e+13,,197139,0.5636
2005-04-11,LT,EQ,983.55,987.0,992.8,950.15,960.0,957.55,963.51,358496,3.454127597e+13,,199198,0.5556
2005-04-12,LT,EQ,957.55,965.35,973.0,954.0,965.3,968.0,963.11,240151,2.3129268385e+13,,119381,0.4971
2005-04-13,LT,EQ,968.0,974.1,984.0,961.85,966.2,965.65,972.24,222080,2.1591605665e+13,,94519,0.4256
2005-04-15,LT,EQ,965.65,965.0,977.2,939.1,951.0,952.2,953.57,300170,2.8623271355e+13,,144591,0.4817
2005-04-18,LT,EQ,952.2,947.0,975.0,928.15,970.0,961.3,944.69,330899,3.1259637035e+13,,150702,0.4554
2005-04-19,LT,EQ,961.3,973.7,989.9,929.0,948.0,942.0,963.09,308706,2.9731159505e+13,,178105,0.5769
2005-04-20,LT,EQ,942.0,964.9,964.9,936.55,952.0,950.65,947.53,221737,2.1010181405e+13,,106607,0.4808
2005-04-21,LT,EQ,950.65,980.0,980.0,942.0,977.0,973.0,968.31,196608,1.9037763685e+13,,121577,0.6184
2005-04-22,LT,EQ,973.0,992.5,998.0,973.0,991.0,992.45,985.93,158062,1.5583787535e+13,,84221,0.5328
2005-04-25,LT,EQ,992.45,999.7,999.7,920.0,994.0,995.2,994.1,123444,1.227157452e+13,,77066,0.6243
2005-04-26,LT,EQ,995.2,997.0,997.0,967.05,975.05,975.6,978.38,175410,1.7161832925e+13,,90940,0.5184
2005-04-27,LT,EQ,975.6,990.0,990.0,961.0,971.0,967.8,970.8,104709,1.0165171365e+13,,56191,0.5366
2005-04-28,LT,EQ,967.8,981.0,981.0,969.0,970.9,971.25,971.28,84717,8.22843046e+12,,46624,0.5503
2005-04-29,LT,EQ,971.25,983.8,983.8,962.0,970.0,966.6,973.98,107487,1.046903343e+13,,43791,0.4074
2005-05-02,LT,EQ,966.6,977.7,977.7,962.0,964.1,968.3,970.07,56314,5.46286285e+12,,12318,0.2187
2005-05-03,LT,EQ,968.3,974.9,980.0,963.0,969.8,969.5,971.75,44030,4.278636325e+12,,15632,0.355
2005-05-04,LT,EQ,969.5,969.9,999.5,969.8,995.0,996.9,987.31,173080,1.7088355695e+13,,111130,0.6421
2005-05-05,LT,EQ,996.9,997.15,1044.0,993.0,1029.0,1032.9,1025.91,324834,3.3324964995e+13,,160865,0.4952
2005-05-06,LT,EQ,1032.9,1019.9,1036.9,1004.0,1018.0,1011.65,1011.02,213382,2.1573371525e+13,,117584,0.551
2005-05-09,LT,EQ,1011.65,1019.0,1029.9,999.0,1025.0,1022.7,1015.54,258341,2.6235672455e+13,,136999,0.5303
2005-05-10,LT,EQ,1022.7,1029.0,1029.0,1009.0,1015.0,1016.55,1016.34,233203,2.370140906e+13,,129249,0.5542
2005-05-11,LT,EQ,1016.55,1010.0,1016.0,999.5,1000.05,1001.9,1008.5,281935,2.843305853e+13,,222708,0.7899
2005-05-12,LT,EQ,1001.9,1005.0,1020.1,1003.0,1020.0,1015.0,1015.49,95212,9.66868983e+12,,50885,0.5344
2005-05-13,LT,EQ,1015.0,1012.0,1025.0,1005.15,1022.0,1021.1,1020.67,105604,1.077873095e+13,,60030,0.5684
